                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.3775,                0.27071,                0.86366,                0.95346,                      1,                 0.9634,                0.85666,                0.50292,                0.33646,                0.65649,             0.00090338,             0.00090338,             0.00090338
                     38,                0.37696,                0.26112,                0.86744,                0.82696,                      1,                 0.9818,                0.89987,                0.33056,                0.30093,                0.64827,             0.00087292,             0.00087292,             0.00087292
                     39,                0.37805,                0.27689,                0.87311,                0.95785,                      1,                  0.987,                0.94581,                0.38177,                0.32332,                0.64905,             0.00084246,             0.00084246,             0.00084246
                     40,                0.36334,                0.25996,                0.86954,                0.95796,                      1,                 0.9552,                 0.8979,                0.37086,                0.28911,                 0.6594,               0.000812,               0.000812,               0.000812
                     41,                0.35934,                0.25538,                0.85927,                0.95793,                      1,                 0.9552,                0.91264,                0.37982,                0.29836,                0.64662,             0.00078154,             0.00078154,             0.00078154
                     42,                0.38141,                 0.2678,                0.87126,                0.95794,                      1,                 0.9552,                0.86558,                 0.4403,                0.27317,                0.66505,             0.00075108,             0.00075108,             0.00075108
                     43,                0.35948,                0.25168,                0.85863,                0.95794,                      1,                 0.9552,                0.90149,                0.39217,                0.25238,                0.65096,             0.00072062,             0.00072062,             0.00072062
                     44,                0.33705,                0.24535,                0.85628,                0.95796,                      1,                 0.9618,                0.90566,                0.39392,                0.30639,                0.64742,             0.00069015,             0.00069015,             0.00069015
                     45,                 0.3417,                0.24004,                0.85427,                0.95794,                      1,                 0.9618,                0.91995,                0.38035,                0.27202,                0.65429,             0.00065969,             0.00065969,             0.00065969
                     46,                0.33847,                0.23699,                0.85934,                0.95797,                      1,                 0.9618,                0.91719,                0.36343,                0.26302,                0.64972,             0.00062923,             0.00062923,             0.00062923
                     47,                0.34274,                0.23666,                0.85637,                0.95793,                      1,                 0.9618,                0.93229,                0.36926,                0.28521,                0.64854,             0.00059877,             0.00059877,             0.00059877
                     48,                 0.3362,                0.23367,                0.86475,                0.95806,                      1,                  0.995,                0.94434,                 0.3833,                0.26547,                0.64695,             0.00056831,             0.00056831,             0.00056831
                     49,                0.33737,                0.23242,                 0.8521,                0.95787,                      1,                 0.9802,                0.90645,                0.42889,                0.29087,                0.64926,             0.00053785,             0.00053785,             0.00053785
                     50,                0.33803,                0.23238,                 0.8637,                 0.9579,                      1,                 0.9702,                0.91534,                0.37955,                0.28148,                0.65204,             0.00050738,             0.00050738,             0.00050738
                     51,                0.32345,                0.22111,                0.85564,                0.95795,                      1,                 0.9552,                  0.906,                0.38116,                0.27935,                0.64303,             0.00047692,             0.00047692,             0.00047692
                     52,                 0.3365,                0.21758,                0.86054,                0.95796,                      1,                 0.9552,                0.90718,                0.38975,                0.29472,                0.64885,             0.00044646,             0.00044646,             0.00044646
                     53,                0.32568,                0.22075,                0.85326,                0.95793,                      1,                 0.9602,                 0.9259,                0.38074,                0.29809,                0.64799,               0.000416,               0.000416,               0.000416
                     54,                0.32414,                0.21893,                0.85603,                0.95794,                      1,                 0.9602,                0.93542,                0.35969,                0.27572,                 0.6406,             0.00038554,             0.00038554,             0.00038554
                     55,                0.32399,                0.21605,                0.85875,                0.95797,                      1,                 0.9602,                0.91159,                0.38644,                0.27655,                0.64072,             0.00035508,             0.00035508,             0.00035508
                     56,                0.32077,                0.23655,                0.83372,                   0.96,                      1,                  0.965,                0.92944,                0.38186,                0.28212,                0.64383,             0.00032462,             0.00032462,             0.00032462
                     57,                0.29446,                0.20934,                0.83865,                0.82665,                      1,                 0.9718,                0.92733,                0.35922,                0.30668,                0.64056,             0.00029415,             0.00029415,             0.00029415
                     58,                 0.2958,                0.20937,                0.85337,                0.82668,                      1,                  0.967,                0.91363,                0.38162,                0.37553,                0.63928,             0.00026369,             0.00026369,             0.00026369
                     59,                0.30518,                0.21526,                0.83366,                0.72725,                      1,                  0.965,                0.85957,                0.36586,                0.36748,                0.63351,             0.00023323,             0.00023323,             0.00023323
                     60,                 0.2841,                0.20586,                0.84141,                0.82759,                      1,                 0.9718,                0.89959,                0.35636,                 0.3507,                0.63569,             0.00020277,             0.00020277,             0.00020277
                     61,                  0.285,                 0.1936,                0.83431,                0.82759,                      1,                  0.967,                0.90538,                0.38663,                0.29988,                0.64319,             0.00017231,             0.00017231,             0.00017231
                     62,                0.29501,                0.20597,                0.84469,                   0.96,                      1,                  0.957,                0.93256,                0.35156,                0.28579,                0.64179,             0.00014185,             0.00014185,             0.00014185
                     63,                0.29208,                 0.2025,                0.82951,                   0.96,                      1,                 0.9552,                0.92515,                0.35021,                0.26575,                0.64054,             0.00011138,             0.00011138,             0.00011138
                     64,                0.28278,                0.19315,                0.83668,                   0.96,                      1,                 0.9734,                0.93967,                0.35952,                0.27603,                0.64066,             8.0923e-05,             8.0923e-05,             8.0923e-05
                     65,                0.26651,                0.18026,                0.83896,                   0.96,                      1,                 0.9734,                0.94351,                0.34885,                0.27626,                0.63954,             5.0462e-05,             5.0462e-05,             5.0462e-05
